Article,English Chunk,Chinese
1,announce three new training courses,宣布三门新培训课程
1,cover conflict management,涵盖冲突管理
1,review the attached schedule,查看所附日程
1,space is limited,名额有限
1,registration must be completed by,报名必须在……之前完成
2,well-maintained,保养良好的
2,has never been in an accident,从未发生过事故
2,serviced regularly,定期保养
2,asking price,要价
2,by appointment only,仅限预约
3,announced yesterday that it will acquire,昨日宣布将收购
3,expand its prepared-food business,扩大其熟食业务
3,under its current brand name,以现有品牌名称继续运营
3,no store closures are planned,暂无关店计划
3,work together on future product development,共同推进未来产品开发
4,has been delayed by two hours,延误了两个小时
4,Thanks for letting me know,谢谢你告诉我
4,miss the airport train connection,错过机场列车接驳
4,pick me up around 5:30,大约 5:30 来接我
4,wait near the information desk,在问讯处附近等候
5,may reserve bulletin board space,可以申请公告栏位置
5,open to the public,向公众开放
5,must be approved by,必须经……批准
5,will not be accepted,将不被接受
5,complete a short form,填写简短表格
6,offers on-site microphone setup,提供现场麦克风布置
6,remote recording support,远程录音支持
6,cost-effective upgrade,高性价比升级方案
6,receive a free consultation,获得免费咨询
6,request a quote today,今天就索取报价
7,will host a group of overseas visitors,将接待一批海外来访者
7,lead a half-day city tour,带领半日城市观光
7,please let us know your rates,请告知收费标准
7,guide availability,导游时间安排
7,include a suggested itinerary,附上建议行程
8,low-odor interior collection,低气味室内系列
8,dries quickly,干得快
8,covers most surfaces in one coat,多数表面一遍覆盖
8,delivered within three business days,三个工作日内送达
8,available by appointment,可预约提供
9,estimated delivery date,预计送达日期
9,review the quantities carefully,仔细核对数量
9,changes to shipping address,收货地址更改
9,before payment is processed,在付款处理之前
9,sent automatically after checkout,结账后自动发送
10,do not match the colors listed on my invoice,与发票所列颜色不符
10,I received ... instead,我收到的是……而不是……
10,as soon as possible,尽快
10,finalize a design proposal,完成设计提案
10,prompt assistance,及时协助
11,originally scheduled for,原定于
11,has been moved to,已改到
11,be prepared to discuss,准备讨论
11,unable to attend,无法参加
11,meeting notes,会议记录
12,Thank you for applying for,感谢你申请
12,would like to invite you to an interview,想邀请你参加面试
12,is expected to last,预计持续
12,bring a copy of your resume,携带一份简历复印件
12,confirm whether you are available,确认你是否有空
13,friendly reminder,友善提醒
13,is now overdue,现已逾期
13,at your earliest convenience,请尽快在方便时处理
13,please disregard this message,请忽略此邮件
13,avoid any late fees,避免任何滞纳金
14,confirms your reservation,确认你的预订
14,check-in time is after,入住时间在……之后
14,included in your room rate,已包含在房价内
14,available throughout the hotel,酒店全区域可用
14,avoid a cancellation fee,避免取消费用
15,We regret to inform you that,很遗憾地通知你
15,has been canceled due to,因……而取消
15,automatically rebooked you on,已自动为你改签到
15,at no additional charge,无需额外费用
15,appreciate your understanding,感谢你的理解
16,We are writing to let you know that,特此通知你
16,has been delayed because of,因……而延误
16,estimated shipping date,预计发货日期
16,tracking information,追踪信息
16,would prefer to cancel the order,更希望取消订单
17,within 30 days of purchase,购买后 30 天内
17,qualify for a return,符合退货条件
17,in its original packaging,保持原包装
17,defective product,有瑕疵的商品
17,processed within five business days,在五个工作日内处理
18,is seeking a full-time,正在招聘一名全职
18,support daily operations,支持日常运营
18,Responsibilities include,职责包括
18,Qualified applicants should have,合格申请人应具备
18,submit a resume and cover letter,提交简历和求职信
19,cordially invited to attend,诚邀出席
19,"will include dinner, a guest speaker",将包括晚餐和嘉宾演讲
19,confirm that I will attend,确认我将出席
19,prepare in advance,提前准备
19,Please let me know,请告诉我
20,interested in ordering,有意订购
20,price per unit,单价
20,production time,生产时间
20,express shipping is available,可提供加急运输
20,for an additional fee,需额外付费
